class	id	type	mark	chr	chr_cov	chr_covered_bp
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr12	0.0230129	3080324
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr13	0.0109862	1265277
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr14	0.0194507	2088022
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr15	0.020783	2130910
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr16	0.0290704	2626652
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr17	0.0434254	3525931
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr18	0.0161684	1262381
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr19	0.0411052	2430507
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr20	0.0429809	2708892
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr21	0.0160515	772556
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chr22	0.0296636	1521878
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chrX	0.0020176	313274
BRAIN	E071	Brain Hippocampus Middle	H3K27me3	chrY	0.000490016	29094
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr1	0.0485685	12105736
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr2	0.0362066	8805421
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr3	0.0366979	7267007
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr4	0.0228914	4375794
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr5	0.0308329	5578148
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr6	0.0307349	5259196
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr7	0.0343602	5468031
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr8	0.0269382	3942783
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr9	0.0393276	5553580
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr10	0.0378563	5130847
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr11	0.0477202	6442544
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr12	0.0475835	6369146
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr13	0.0199238	2294619
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr14	0.0383374	4115506
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr15	0.0437141	4482064
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr16	0.0636599	5751974
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr17	0.0890292	7228743
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr18	0.0242931	1896739
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr19	0.132081	7809819
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr20	0.0622068	3920617
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr21	0.0301633	1451756
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chr22	0.0663504	3404079
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chrX	0.00970928	1507566
BRAIN	E071	Brain Hippocampus Middle	H3K36me3	chrY	0.000838841	49805
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr1	0.0665747	16593793
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr2	0.0543501	13217922
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr3	0.0542303	10738808
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr4	0.0357676	6837134
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr5	0.0508973	9208103
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr6	0.0538028	9206466
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr7	0.0517049	8228241
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr8	0.0458255	6707206
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr9	0.0578322	8166681
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr10	0.0680034	9216822
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr11	0.0744356	10049297
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr12	0.0548774	7345447
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr13	0.0350736	4039420
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr14	0.054376	5837241
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr15	0.0581881	5966108
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr16	0.0636801	5753802
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr17	0.100306	8144352
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr18	0.0457577	3572637
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr19	0.0871791	5154809
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr20	0.0755829	4763653
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr21	0.0407994	1963672
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chr22	0.071854	3686437
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chrX	0.0123246	1913655
BRAIN	E071	Brain Hippocampus Middle	H3K4me1	chrY	0.000953404	56607
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr1	0.0259428	6466270
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr2	0.0200966	4887472
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr3	0.0204442	4048412
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr4	0.0155108	2964952
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr5	0.020136	3642907
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr6	0.0232854	3984475
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr7	0.0208203	3313316
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr8	0.0183156	2680746
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr9	0.0204985	2894661
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr10	0.0233807	3168898
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr11	0.0269361	3636555
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr12	0.0262711	3516442
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr13	0.0144436	1663471
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr14	0.0201444	2162497
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr15	0.0208376	2136505
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr16	0.0275978	2493592
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr17	0.0428318	3477741
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr18	0.017878	1395866
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr19	0.0735499	4348928
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr20	0.0267681	1687071
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr21	0.0167636	806831
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chr22	0.0265863	1364000
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chrX	0.0109947	1707150
BRAIN	E071	Brain Hippocampus Middle	H3K4me3	chrY	0.00133433	79224
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr1	0.0158264	3944749
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr2	0.0191501	4657287
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr3	0.0186636	3695807
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr4	0.0215369	4116873
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr5	0.0235963	4268935
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr6	0.019018	3254264
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr7	0.0230485	3667904
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr8	0.0215006	3146921
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr9	0.0151113	2133924
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr10	0.0212648	2882118
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr11	0.0211813	2859618
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr12	0.0220863	2956297
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr13	0.0153021	1762339
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr14	0.0163731	1757641
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr15	0.0141851	1454419
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr16	0.020765	1876219
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr17	0.0124136	1007922
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr18	0.0171542	1339354
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr19	0.0582046	3441578
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr20	0.0172154	1085009
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr21	0.0204834	985862
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chr22	0.00889732	456473
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chrX	0.00415908	645782
BRAIN	E071	Brain Hippocampus Middle	H3K9me3	chrY	0.00407351	241859
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr1	0.0320386	7985643
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr2	0.0230243	5599496
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr3	0.0225885	4473032
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr4	0.0133436	2550680
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr5	0.0181066	3275756
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr6	0.0234448	4011764
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr7	0.0191709	3050830
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr8	0.0187586	2745579
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr9	0.0244093	3446919
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr10	0.0274337	3718216
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr11	0.0303882	4102607
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr12	0.0272263	3644289
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr13	0.0127641	1470039
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr14	0.0251967	2704856
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr15	0.0252594	2589883
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr16	0.0327293	2957245
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr17	0.0550182	4467216
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr18	0.0168242	1313584
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr19	0.0612118	3619389
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr20	0.035562	2241311
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr21	0.0204946	986403
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chr22	0.0380354	1951392
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chrX	0.0101334	1573415
GI_ESOPHAGUS	E079	Esophagus	H3K27ac	chrY	0.00106537	63255
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr1	0.00766592	1910736
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr2	0.00674976	1641538
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr3	0.00495482	981165
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr4	0.00501864	959334
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr5	0.00654061	1183296
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr6	0.00705557	1207315
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr7	0.00692512	1102055
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr8	0.00649963	951312
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr9	0.00659722	931616
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr10	0.00813778	1102952
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr11	0.00740655	999932
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr12	0.00733621	981965
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr13	0.00535168	616352
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr14	0.00611269	656194
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr15	0.00647792	664190
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr16	0.00752703	680103
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr17	0.0116983	949848
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr18	0.00595121	464654
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr19	0.0138465	818727
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr20	0.0118185	744868
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr21	0.00450124	216644
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chr22	0.00787776	404165
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chrX	0.000821701	127586
GI_ESOPHAGUS	E079	Esophagus	H3K27me3	chrY	8.83053e-05	5243
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr1	0.0291559	7267132
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr2	0.020564	5001160
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr3	0.0210285	4164109
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr4	0.0136421	2607743
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr5	0.0166159	3006071
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr6	0.0183	3131405
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr7	0.0222699	3543996
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr8	0.0174674	2556599
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr9	0.0253996	3586761
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr10	0.0241565	3274043
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr11	0.0298862	4034835
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr12	0.0286889	3840058
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr13	0.0109594	1262188
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr14	0.0228145	2449130
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr15	0.0246236	2524693
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr16	0.0464946	4201008
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr17	0.0602418	4891345
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr18	0.0154392	1205453
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr19	0.0919476	5436769
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr20	0.041619	2623056
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr21	0.0232279	1117957
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chr22	0.0528443	2711154
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chrX	0.00674377	1047109
GI_ESOPHAGUS	E079	Esophagus	H3K36me3	chrY	0.000911567	54123
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr1	0.0268247	6686062
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr2	0.0206576	5023922
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr3	0.0182609	3616063
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr4	0.0109773	2098357
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr5	0.0157583	2850914
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr6	0.0186332	3188423
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr7	0.0175019	2785234
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr8	0.0178728	2615934
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr9	0.0217535	3071893
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr10	0.0250093	3389635
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr11	0.0276948	3738983
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr12	0.0200978	2690130
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr13	0.0108786	1252882
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr14	0.0209942	2253723
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr15	0.0224306	2299841
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr16	0.0326496	2950050
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr17	0.0478683	3886679
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr18	0.0157856	1232496
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr19	0.0522364	3088683
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr20	0.0346669	2184901
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr21	0.0203671	980264
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chr22	0.0414197	2125020
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chrX	0.00487805	757418
GI_ESOPHAGUS	E079	Esophagus	H3K4me1	chrY	0.000708682	42077
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr1	0.013206	3291603
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr2	0.00906209	2203895
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr3	0.00886148	1754772
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr4	0.00651535	1245437
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr5	0.00817858	1479630
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr6	0.0104244	1783772
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr7	0.00991643	1578087
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr8	0.0083934	1228492
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr9	0.00996794	1407607
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr10	0.0102403	1387916
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr11	0.0137402	1855014
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr12	0.0122909	1645162
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr13	0.00549654	633036
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr14	0.0101039	1084652
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr15	0.0103161	1057727
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr16	0.0158381	1431050
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr17	0.0254846	2069226
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr18	0.00697274	544412
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr19	0.0395637	2339363
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr20	0.0142405	897515
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr21	0.00771385	371267
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chr22	0.0162918	835844
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chrX	0.00575331	893320
GI_ESOPHAGUS	E079	Esophagus	H3K4me3	chrY	0.000718299	42648
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr1	0.0146438	3649972
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr2	0.0181614	4416852
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr3	0.0156768	3104363
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr4	0.0187257	3579493
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr5	0.0185634	3358404
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr6	0.0164874	2821251
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr7	0.0219395	3491424
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr8	0.0212765	3114109
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr9	0.0136053	1921251
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr10	0.0218469	2961008
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr11	0.0180115	2431668
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr12	0.0191673	2565577
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr13	0.0171707	1977548
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr14	0.0148989	1599386
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr15	0.0148384	1521400
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr16	0.0209347	1891551
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr17	0.0154545	1254834
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr18	0.019661	1535074
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr19	0.0642493	3798994
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr20	0.0211035	1330058
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr21	0.0217558	1047105
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chr22	0.0157309	807069
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chrX	0.00737958	1145831
GI_ESOPHAGUS	E079	Esophagus	H3K9me3	chrY	0.00445026	264228
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr1	0.035415	8827210
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr2	0.0265621	6459890
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr3	0.0246941	4889991
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr4	0.0147799	2825244
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr5	0.0222021	4016700
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr6	0.0271635	4648080
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr7	0.0229177	3647084
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr8	0.0220567	3228305
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr9	0.0266038	3756814
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr10	0.0310964	4214637
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr11	0.035515	4794752
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr12	0.0310676	4158455
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr13	0.0148213	1706964
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr14	0.0291342	3127539
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr15	0.028541	2926346
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr16	0.0404917	3658620
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr17	0.0655154	5319540
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr18	0.0187141	1461147
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr19	0.0708393	4188658
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr20	0.0411592	2594079
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr21	0.0256872	1236324
GI_INTESTINE	E109	Small Intestine	H3K27ac	chr22	0.0469131	2406856
GI_INTESTINE	E109	Small Intestine	H3K27ac	chrX	0.0120419	1869758
GI_INTESTINE	E109	Small Intestine	H3K27ac	chrY	0.00087571	51994
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr1	0.0173338	4320457
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr2	0.0141204	3434077
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr3	0.0104746	2074200
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr4	0.00900427	1721204
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr5	0.0136459	2468756
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr6	0.0140066	2396743
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr7	0.0133569	2125606
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr8	0.0136985	2004963
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr9	0.0132028	1864414
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr10	0.0181201	2455899
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr11	0.0165203	2230343
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr12	0.0154645	2069954
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr13	0.0101481	1168761
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr14	0.0123289	1323497
GI_INTESTINE	E109	Small Intestine	H3K27me3	chr15	0.0152734	1566003
